,ruid,sum(rb)
424,18118,703444365.0
425,57247,3516828301044.0
426,2138,120953281781599.0
427,104067,42716017070.0
428,36386,452006213774234.0
429,98267,47427513996409.0
430,99878,14876687848.0
431,37316,63366573735585.0
432,13063,4054311774140920.0
433,72800,2550453495498.0
434,103471,3920046290.0
435,28212,273306292050.0
436,95480,32139990548.0
437,47828,70272.0
438,22014,7493949714297776.0
439,78321,41159068047391.0
440,14355,78960883416924.0
441,17399,37654239557118.0
442,86432,68658085865015.0
443,90404,21158364946345.0
444,30131,8382033411895.0
445,3453,589055716329.0
446,9283,9874769832881.0
447,50719,1885605679056.0
448,95110,37767885740198.0
449,102863,430789137.0
450,93032,40698391742668.0
451,98328,12744762622607.0
452,7616,14166056437071.0
453,101665,153426178863.0
454,42553,173758305410.0
455,10948,0.0
456,17241,71205680340.0
457,93106,17250349500.0
458,97746,1769094463.0
459,5082,362629093024174.0
460,41277,29947900226920.0
461,98272,213885939739.0
462,59442,347590130678735.0
463,41398,628827536405.0
464,12780,1814765069403.0
465,7500,2568487510326.0
466,80256,2329784.0
467,105099,988657385.0
468,80368,9844311702260.0
469,24576,216389564875.0
470,51171,32984785167330.0
471,94664,3526648534755.0
472,106829,301967422.0
473,58653,286613074.0
474,57856,735391614.0
475,15151,19774946028034.0
476,18401,59148479478.0
477,85801,1104064052553.0
478,82008,1929827423.0
479,89872,144117160018.0
480,104946,129714332.0
481,48328,514780790878.0
482,17058,588942427.0
483,13314,11840773896539.0
484,16745,186758133931.0
485,71150,48567437504568.0
486,79777,103006381.0
487,59297,454375487081.0
488,34835,1101744843.0
489,33175,29607963531.0
490,4570,23096034910.0
491,70556,9072161770571.0
492,100866,201190655.0
493,102004,830726688024.0
494,2481,3666979792.0
495,23914,7381976786.0
496,12850,73567284212.0
497,11512,180615585696.0
498,90150,1154185718422.0
499,21251,67009290.0
500,3,3821394186.0
501,81154,8248841087819.0
502,32589,2964981355031.0
503,18982,371831131024.0
504,50008,58944353362.0
505,16507,439224053750.0
506,25128,25620879801.0
507,51015,15479689739.0
508,71149,17821493108260.0
509,23401,4921095278397.0
510,95077,5964287871982.0
511,86142,157896879959.0
512,88973,256818376974.0
513,99585,12956430968.0
514,45379,0.0
515,55620,15822633770084.0
516,55446,27067341892485.0
517,27518,2102141661043.0
518,23262,8376853688120.0
519,99288,457598159417.0
520,29235,19.0
521,50376,1616500395.0
522,78720,514522642.0
523,83687,522606492.0
524,52008,16298377838.0
525,13456,4853222.0
526,106619,2478275.0
527,1144,247772745373058.0
528,81874,75139757230973.0
529,49627,1718169366204.0
530,13633,7405488055.0
531,36363,46128417681131.0
532,77891,12120496384923.0
533,104337,9563479012.0
534,63402,36856582858021.0
535,14793,13399944292782.0
536,37688,3408336702004.0
537,27596,4897180118788.0
538,35415,11543473838.0
539,16552,49087059504.0
540,101717,242763976120.0
541,69871,26094422111.0
542,7009,15330303719.0
543,93356,2519310069.0
544,51703,6847739105.0
545,70409,63629300743914.0
546,54590,9999162364647.0
547,14799,1023076211033026.0
548,9414,14008364146666.0
549,7411,67439706589.0
550,49069,38420868641385.0
551,24439,1144423732104593.0
552,101292,392916890748.0
553,102884,42165732649358.0
554,21535,946517493255.0
555,90155,18470220818.0
556,37505,342775889171124.0
557,27910,592862886.0
558,78314,73958498.0
559,103858,76174859091.0
560,93872,286059359.0
561,12650,851185341271199.0
562,81554,3879841161929.0
563,10579,2935729338468.0
564,43874,19690493478141.0
565,47348,268518139024609.0
566,70667,6391438146165.0
567,94033,494793040082.0
568,95982,31719335767463.0
569,68716,70432710081521.0
570,35206,8733971784271.0
571,102441,11461883816018.0
572,15419,1433199135376.0
573,58490,5178867420474.0
574,101615,3947963309.0
575,105544,49246176661.0
576,98813,1588610866.0
577,93841,10479177555.0
578,78253,6468344920218.0
579,90376,268662426690984.0
580,98739,141760527143.0
581,2177,9686992713875.0
582,35452,127717055848.0
583,88686,23489088109.0
584,104068,17738016.0
585,34086,270818691703.0
586,78176,532963342035.0
587,57236,9140675479046.0
588,30824,4692225298.0
589,103465,5282001262001.0
590,39402,57825264401.0
591,12296,268479540.0
592,12134,1821533690.0
593,11659,26169130570.0
594,97870,1327673541.0
595,63219,29413630775722.0
596,71463,3719144841342.0
597,74470,92058147665664.0
598,12531,7934480387563.0
599,11045,800422310036.0
600,30058,3752929930224.0
601,93673,2894267535348.0
602,31490,4921212313505.0
603,8359,204643819512.0
604,77898,18209971310.0
605,43954,13791102910.0
606,49725,39790705119206.0
607,80364,8690746844734.0
608,8440,289306399610.0
609,79409,1572836549503.0
610,23306,3850491042184.0
611,4839,1649036665478.0
612,43876,120875382517791.0
613,71482,8111536802.0
614,82541,8176089848.0
615,101785,11840704088.0
616,24232,3806452.0
617,34575,3852284791337395.0
618,52020,51442125409571.0
619,9481,193390988300703.0
620,24944,204265271986693.0
