,year,month,day,sum(wb),sum(rb),count(1)
179,2017,5,3,144673536674461.0,521523910106593.0,3527607
180,2017,5,23,289623344769349.0,332774035503815.0,5058416
181,2017,4,25,948810822905879.0,1395086722630146.0,6462440
182,2017,1,23,827635101678086.0,1020357851738584.0,6498990
183,2017,7,17,757117569404974.0,769848220511807.0,9034757
184,2017,4,13,305568693475260.0,2328506522757853.0,7331278
185,2017,7,23,1082027695135606.0,984406763530560.0,9969274
186,2017,1,28,251996926547793.0,1021733742730946.0,4302955
187,2016,12,29,240697563841383.0,383575157946407.0,2799433
188,2017,3,19,393270178094065.0,2893780353538163.0,5550350
189,2017,7,27,961077568817375.0,1346353942477332.0,57953484
190,2017,1,19,394679244103467.0,684021769897063.0,6397941
191,2017,4,8,151640216815853.0,1142394079153325.0,4507589
192,2017,1,9,277014626791015.0,611354932305705.0,4219589
193,2017,3,6,521304154650597.0,3111822470426755.0,7028023
194,2017,5,20,89296228972608.0,122611373682383.0,5746257
195,2016,11,29,1580687034008149.0,2122114484600227.0,11384528
196,2017,1,16,278537572241649.0,666259784218590.0,47268391
197,2017,2,1,272174220105262.0,1352518442040256.0,66337353
198,2017,3,25,318333973996896.0,1078085497811440.0,6047626
199,2017,5,17,239675139966532.0,676986642182621.0,7250687
200,2017,5,6,108319093019853.0,327416414864698.0,2030272
201,2017,1,17,285871778549342.0,619446592805245.0,5085007
202,2017,1,14,194809702635561.0,382293227112849.0,39513242
203,2017,6,30,173963908969129.0,388036732784613.0,4568303
204,2017,4,3,233526048662904.0,884306374607311.0,4126775
205,2017,1,26,342539045382321.0,1134267519744855.0,5774776
206,2017,8,25,679997824657388.0,583158812253932.0,19819775
207,2017,2,10,625302505526814.0,1163782856892949.0,5982337
208,2017,7,6,260369286315297.0,356012481705445.0,7961498
209,2016,12,20,434852467723736.0,1156010304296849.0,8540215
210,2017,8,28,709649606037707.0,958906891101829.0,32559989
211,2017,3,10,366649116798364.0,2354626177113524.0,6064365
212,2017,3,8,125165125995220.0,763756196987577.0,3844245
213,2017,6,21,883621708551342.0,919107809764305.0,6143082
214,2017,3,5,444175214971522.0,3132504522605362.0,7225209
215,2017,6,20,883092908721147.0,757535466401186.0,5489712
216,2017,6,23,625193445930491.0,575876295700325.0,3724136
217,2017,2,6,496236641426193.0,1180941973481201.0,4797190
218,2017,3,30,204894038086333.0,1574757000805089.0,4055507
219,2017,8,17,962435083779081.0,799852527725334.0,3690934
220,2017,8,1,2036188526044007.0,1756516128384314.0,11022717
221,2017,6,25,605003790233351.0,526188944379563.0,2824766
222,2017,4,27,253614753829832.0,517259770150199.0,3522192
223,2016,12,21,277694480091930.0,1041423374690229.0,5139005
224,2017,7,20,1316259696362658.0,1139031905827384.0,22192806
225,2017,8,12,431008890138955.0,457937397091980.0,9848616
226,2017,8,2,2029838327446899.0,1855043582290325.0,12549335
227,2016,12,26,289449580855255.0,807899452905667.0,5209306
228,2017,3,23,371405567654431.0,1375316360836959.0,8754857
229,2017,5,26,285567164317885.0,670190162567257.0,5681923
230,2017,4,19,459459927742527.0,3667591307058124.0,8317750
231,2017,7,19,944730578804842.0,1074329606173799.0,21741212
232,2016,11,28,1785168522964051.0,1555531222242669.0,9277394
233,2017,1,21,559186529512196.0,879993142138541.0,17947795
234,2017,8,5,1645730190565208.0,1643515859655527.0,8364289
235,2017,2,27,374356768423997.0,1614502534963710.0,4599118
236,2016,11,21,269999338079172.0,340563796881368.0,3072202
237,2017,3,16,369930258973213.0,2664259886928084.0,9819126
238,2017,6,19,381337476669046.0,522299264244297.0,5760131
239,2017,6,22,1209970260295226.0,992886713912932.0,4813955
240,2017,1,6,146789912403513.0,468359760285798.0,3549110
241,2017,6,9,578047759007380.0,747657299981634.0,9449505
242,2017,8,26,843240848927226.0,652741763542372.0,8739869
243,2017,3,2,249707581486160.0,553617541765689.0,5049446
244,2017,5,27,440312666078837.0,727108431387812.0,4879764
245,2017,7,29,1106453011326271.0,1168635359557268.0,8514915
246,2017,9,2,688827280250835.0,555421110232412.0,3206859
247,2017,7,4,437029974358396.0,559033262200234.0,9339584
248,2017,7,22,1500778721850561.0,1296783354006584.0,10103142
249,2017,4,2,154092651852180.0,782979207416889.0,3151980
250,2016,12,4,921716392585705.0,1070592406279144.0,6103930
251,2017,6,1,985628162738999.0,1082893130962153.0,19689639
252,2017,2,15,502975926767150.0,2503219237404085.0,4906787
253,2017,3,4,493164105134464.0,1334179028545469.0,5847130
254,2016,11,25,1171820357025051.0,1122855705278986.0,7915342
255,2017,6,8,1184448786744622.0,1371824802133455.0,13245428
256,2016,12,27,201949561720448.0,374780825102690.0,1834120
257,2017,5,7,149420230308248.0,431324506567497.0,2766118
258,2017,7,31,1607516220437039.0,1506261322285631.0,16652542
259,2016,11,24,1077549946670855.0,1397210182061435.0,9253707
260,2017,4,30,118289946709220.0,198116219710358.0,1484433
261,2017,8,3,1845121492713638.0,1723923851298095.0,13701266
262,2016,11,27,1226959343456971.0,814235601279158.0,5897920
263,2017,1,18,264069505564410.0,569982426181796.0,4499225
264,2017,2,19,365316555388055.0,2162798176240211.0,5096480
265,2017,7,12,402913612043677.0,394236612456604.0,5727176
266,2017,5,1,56184707860005.0,313169387563396.0,5148267
267,2017,5,11,334959885113174.0,630458555097319.0,4853203
268,2017,5,5,241856811394979.0,952529979777409.0,7758185
269,2016,12,28,191897511149942.0,345007182600334.0,1555430
270,2017,1,5,230027388074877.0,547521840109751.0,3738759
271,2017,4,18,226948847293627.0,1055237835890949.0,7651116
272,2017,7,21,1634929087256313.0,1232245981283768.0,8950575
273,2017,6,28,905135861063794.0,812653663974575.0,13905797
274,2017,4,20,415534553757167.0,2931861883749084.0,6441483
275,2017,6,17,630431335585298.0,387013656978545.0,3611815
276,2017,3,3,231444350325353.0,570728774257730.0,4075580
277,2017,3,1,665760311962848.0,1167362366782182.0,5962500
278,2017,8,21,541815420174916.0,550047237590478.0,3693579
279,2017,8,10,1274253330701379.0,1038539896614672.0,7838819
280,2016,12,2,1147169953850059.0,1247274892018330.0,9183059
281,2017,8,11,604171825663702.0,595273780982165.0,2539980
282,2017,7,2,298019078276507.0,256562473780127.0,2946804
