,ruid,sum(wb)
222,24900,31312543966.0
223,15974,0.0
224,23596,3629936010502.0
225,56869,104242593589766.0
226,56373,5714642261617.0
227,70743,724046703942.0
228,73805,320415416660.0
229,13125,167968099348.0
230,47972,721622953932.0
231,31095,3029432198980.0
232,59590,5324525395452.0
233,96789,0.0
234,72845,0.0
235,28100,0.0
236,61206,5416409053803.0
237,49624,0.0
238,7583,0.0
239,40417,1643000757672.0
240,72624,5769877850760.0
241,51655,0.0
242,79337,823316376186.0
243,32535,303593762680.0
244,57692,261913569638.0
245,29609,0.0
246,99567,0.0
247,80801,0.0
248,62818,16971736179517.0
249,38566,1792692118138.0
250,12000,0.0
251,33777,28941475294.0
252,37033,0.0
253,68220,0.0
254,11608,4781985004.0
255,86099,135283459248.0
256,22461,0.0
257,14824,0.0
258,29673,727654445589.0
259,31423,0.0
260,69790,4965921456286.0
261,38430,2629847888881.0
262,31798,2846753148389.0
263,52016,6902129690877.0
264,55959,2844994405098.0
265,24376,33510178706.0
266,12744,0.0
267,26986,1388527418488.0
268,96649,100738189098.0
269,24724,0.0
270,30261,623282972062.0
271,41713,25144365283273.0
272,9193,4011258521878.0
273,24943,1472351994450.0
274,94443,0.0
275,103445,0.0
276,34831,718221470.0
277,103482,0.0
278,15742,0.0
279,30339,0.0
280,7026,80000.0
281,103233,0.0
282,19016,21598176162571.0
283,39877,512812041676.0
284,32299,0.0
285,85620,2100726224696.0
286,36408,0.0
287,11906,41483762842.0
288,37579,0.0
289,40418,385956043602.0
290,94899,0.0
291,47854,611278532484.0
292,91056,57109416904.0
293,58006,0.0
294,23310,0.0
295,55720,2225392179774.0
296,72490,1120412198502.0
297,9341,0.0
298,80271,0.0
299,54650,9817119641.0
300,2042,264261142.0
301,95477,1456182230537.0
302,79057,2536243588544.0
303,85653,0.0
304,2774,0.0
305,84565,45065622376.0
306,72811,0.0
307,32031,29527775494802.0
308,53062,2056988636229.0
309,58228,438840684872.0
310,86367,384037343492.0
311,29788,0.0
312,14534,0.0
313,2791,58697053214.0
314,89873,20021283516.0
315,100210,0.0
316,21283,0.0
317,20658,231070624384.0
318,8166,1501974981221.0
319,82542,67257904171930.0
320,77872,394196832782.0
321,37474,6712252542.0
322,23476,940447289396.0
323,24426,457121907122.0
324,82745,516204258226.0
325,5478,42707354762.0
326,94753,0.0
327,44635,0.0
328,4481,25387860103587.0
329,47282,1686697788392.0
330,12035,0.0
331,31282,27426574430.0
332,8619,160.0
333,2192,0.0
334,43309,343267345470.0
335,8516,20363898386.0
336,28274,468455124584.0
337,100050,0.0
338,93890,832858522348.0
339,25769,0.0
340,4032,0.0
341,28234,661449407488.0
342,75568,1193749671406.0
343,90900,0.0
344,102682,0.0
345,94350,306413523204.0
346,28237,3392952102504.0
347,24393,1370271864218.0
348,71952,0.0
349,10604,0.0
350,13655,229142438190.0
351,71190,0.0
352,91055,0.0
353,75516,10665834307072.0
354,79588,100331169224.0
355,50761,18321218.0
356,66582,4753613950.0
357,106657,0.0
358,81542,1191672116306.0
359,90862,0.0
360,89612,1319001974.0
361,102042,0.0
362,105080,0.0
363,67051,6999962813897.0
364,51895,3668033967787.0
365,55853,5333511312670.0
366,73854,67055917096.0
367,28814,0.0
368,8751,0.0
369,50955,164126343050.0
370,74109,0.0
371,93382,0.0
372,31959,0.0
373,63477,23663972914.0
374,73068,12410540225887.0
375,9725,3103862729990.0
376,59506,18564964994.0
377,9001,0.0
378,6932,39407576167.0
379,58926,15600154.0
380,27634,5263229829.0
381,66665,5880128116.0
382,75207,781947584.0
383,91114,0.0
384,9399,91510390760.0
385,71075,752859563206.0
386,17268,20293479686377.0
387,71099,9713504735672.0
388,62665,0.0
389,85431,4150902657325.0
390,58088,0.0
391,81694,4954103056514.0
392,99918,93605059594.0
393,27872,21203624500.0
394,71096,13745659966.0
395,94446,23304484212.0
396,18481,13012287062.0
397,75824,0.0
398,101792,0.0
399,23732,1839585050.0
400,9625,0.0
401,50205,0.0
