,ruid,count
859,32076,11
860,16566,5
861,96767,2312800
862,69023,172445
863,2735,36569
864,40344,8067
865,90819,49370
866,66597,1328302
867,43881,1206
868,103065,126682
869,51745,39
870,98103,12
871,48307,55451
872,27526,13636
873,10669,153
874,88606,39473
875,41764,2831
876,50873,100
877,91044,274458
878,31685,2
879,100724,10405871
880,8632,103936
881,41945,1053210
882,5137,50134
883,50593,98086
884,14240,662841
885,17231,4678
886,31336,80505
887,82353,49246
888,32030,739
889,30070,5474
890,19275,218
891,53057,16
892,91955,232061
893,89630,5
894,90271,616
895,31949,235810
896,105871,9353
897,35743,99615
898,40598,333328
899,81541,99646
900,91903,5348
901,32634,114494
902,8951,53813
903,105488,175
904,51656,1
905,62662,20
906,68161,39967626
907,17140,300334
908,5741,289
909,11811,59974
910,74570,44379
911,86341,1264
912,93892,850
913,82700,9
914,85567,819
915,89752,5471
916,20824,5221
917,17431,651
918,49321,246312
919,36367,424
920,10451,7645
921,103437,382
922,53061,33
923,94955,12
924,17202,4
925,12330,312030
926,88915,15363
927,31487,3122254
928,14987,215
929,93947,2652
930,105913,8
931,104199,10151
932,50996,5331
933,94542,4891
934,57700,115539
935,22051,2010
936,16279,1
937,75748,26
938,29726,66
939,14753,26
940,68758,4290478
941,80051,436622
942,62778,459464
943,31901,132771
944,17088,28
945,61469,1810363
946,7352,315993
947,84526,1091
948,4274,114172
949,9056,219909
950,47196,419
951,62281,60893
952,7238,176786
953,99016,8099
954,34465,3095
955,12787,13
956,105137,31
957,82611,93909
958,3304,4253
959,50019,705241
960,91611,932084
961,80952,217548
962,56392,7857
963,53059,15249
964,83925,244
965,7618,4379
966,5575,2
967,91661,161319
968,103479,1644
969,50033,94631
970,37753,43395
971,49110,49337
972,32093,152798
973,89272,36
974,7130,6
975,34228,6
976,103493,2
977,13635,5
978,102045,24
979,38187,195886
980,57140,475765
981,50859,20181
982,91952,282598
983,79076,37942
984,67348,348387
985,29590,167602
986,73067,470867
987,11428,879
988,99633,11164
989,32399,26143
990,99916,8
991,104047,370
992,98525,808
993,30289,20969
994,15167,134655
995,38569,253297
996,21686,59671
997,3830,4068900
998,21649,1664
999,16216,17881
1000,38372,20725
1001,78409,50486
1002,95096,243712
1003,23916,260
1004,96911,106690
1005,95283,2991
1006,76955,3
1007,44275,8
1008,46197,1159871
1009,2547,45273
1010,49155,90908
1011,7209,59215
1012,90148,28756
1013,99188,348
1014,10945,25
1015,56757,244291
1016,59861,23
1017,105181,6
1018,100613,16
1019,58479,5383
1020,105690,6
1021,10464,20
1022,91282,61034
1023,37798,140826
1024,54645,478221
1025,58105,33249
1026,1385,1832
1027,74027,1728
1028,90288,2218
1029,84927,5913
1030,7597,229
1031,96906,97
1032,93997,1001
1033,2579,9124
1034,48207,41409
1035,49561,52187
1036,94002,66688
1037,1685,1220
1038,62787,10
1039,92581,2
1040,14602,2
1041,86329,385161
1042,58614,822567
1043,56683,11546
1044,20829,93581
1045,80762,81634
1046,22426,98
1047,82914,132215
1048,56427,13881
1049,23688,1819
1050,42110,28622
1051,51256,124
1052,28679,1369
1053,51051,32014
1054,45140,1922
1055,93334,163
