,fid,count,max(csize)
735,614036679,132016,582021932
736,614045896,132015,260034700
737,457067510,131979,13468418
738,614041522,131972,561007944
739,614050105,131958,582819511
740,614056372,131904,500145776
741,614049957,131889,330447193
742,614041487,131880,202565069
743,614050022,131875,674726613
744,614053161,131864,637689363
745,614044960,131854,316601186
746,614059624,131824,595120069
747,614039611,131772,650719304
748,614046174,131759,246955353
749,614066548,131735,354511132
750,614049941,131735,653865295
751,614070117,131697,937893196
752,614051445,131617,393648951
753,614041497,131560,266168881
754,614053634,131550,503605046
755,614046655,131548,645813632
756,614041533,131512,379691837
757,614052521,131471,972046773
758,614042376,131400,522983938
759,614060584,131383,677868818
760,614047962,131354,504755111
761,614036848,131346,416717347
762,614041549,131289,432788863
763,614053365,131274,619309903
764,614045291,131246,579326056
765,614041538,131176,300075694
766,614060854,131163,500779133
767,614049943,131159,395603227
768,614050175,131157,390871102
769,614041557,131102,436823808
770,614052554,130986,829992896
771,614041923,130955,76501983
772,614049982,130945,396416045
773,614043557,130883,514765881
774,614055911,130794,281605163
775,614048972,130779,210707099
776,614049555,130764,457413672
777,614043943,130741,197144516
778,614047079,130616,336182332
779,614049955,130548,669329005
780,614057744,130529,780810120
781,614036897,130483,318139002
782,614055932,130477,109612177
783,614050249,130468,157245311
784,614056160,130442,297895886
785,614056161,130440,289496761
786,614052724,130436,372242150
787,614056043,130346,204796596
788,614050065,130307,568551222
789,457078319,130188,13298629
790,614039810,130023,176169905
791,614045650,129913,281251306
792,503463786,129844,37469064
793,614053392,129799,170412587
794,618222561,129691,1630856051
795,614037918,129663,164117946
796,618216472,129465,1093530635
797,614046954,129379,224791687
798,618223556,128894,2002603511
799,457068439,128870,12938934
800,618228283,128863,2461028021
801,618220823,128818,1740399827
802,618223964,128741,1764632085
803,618222625,128703,1870425000
804,618225487,128700,2188590454
805,618223822,128694,1975118237
806,618227909,128694,2046130512
807,618222607,128682,1616883265
808,618225624,128672,2045939585
809,618222124,128660,1289712594
810,618223451,128624,1575629478
811,618222176,128584,2079492479
812,618220111,128545,971660580
813,612463518,128491,35694975
814,618221212,128484,1873889068
815,618222725,128481,1526425590
816,618222588,128474,2263038509
817,618221241,128467,1694697105
818,618222454,128460,1932809444
819,614041505,128450,100734381
820,618221234,128424,1136080729
821,618222628,128411,1548401554
822,618221945,128394,1690212878
823,618216399,128368,893777590
824,618222178,128333,1821298329
825,618223466,128313,2215752951
826,618221863,128302,1760618651
827,618221485,128302,1335288330
828,618224190,128295,2314577536
829,618219751,128293,1624432793
830,618223793,128282,1952378506
831,618222626,128276,1359281939
832,618222126,128264,1010143826
833,618223474,128252,1613484728
834,618223516,128239,1333297772
835,614036921,128204,164825076
836,614063050,128194,142274872
837,618221066,128157,1424722417
838,618223492,128152,1294708833
839,618223502,128147,1970511993
840,618223534,128129,1637757390
841,614050002,128085,204398457
842,618222508,128083,1150623609
843,618224245,128068,1982827643
844,618221487,128065,1690151802
845,618220777,128053,875488819
846,618222851,128011,1657673301
847,618223594,127993,1470920711
848,618223429,127992,1410941346
849,618221611,127966,1306786128
850,618220110,127913,1065106094
851,618216275,127912,939175635
852,618220104,127893,1280437797
853,618222131,127855,1183890818
854,618220408,127844,1035118464
855,618221817,127802,1306926504
856,618222145,127784,1400819510
857,618220088,127783,874932925
858,618220078,127757,899181730
859,618222141,127644,1293626977
860,618222206,127590,1462194611
861,614049989,127580,166733954
862,614055943,127501,210724060
863,618220130,127374,1279101735
864,618221477,127183,1108199834
865,618221138,127167,1173630982
866,618218889,126978,901337619
867,618219300,126851,898797083
868,618222116,126778,1066669197
869,618220990,126586,926816912
870,614042326,125938,20655229
871,614036919,125764,100821895
872,614041542,125721,179913434
873,614051945,125516,18677450
874,579422863,125496,2305124692
875,614041562,124608,133868270
876,614040376,124561,53054332
877,579422901,124299,657077002
878,614041507,122980,80677182
879,614050012,122565,127796829
880,614049930,122221,58003736
881,616312588,122043,683
882,614043936,121888,101671816
883,614036918,121367,80623625
884,614051704,118289,54160360
885,614038340,117262,72315130
886,16986703,116292,972470387
887,614031960,116231,47217079
888,614036944,114116,28847073
889,614036914,113476,66142042
890,614049970,112153,53797727
891,546205879,111196,54888
892,614036937,110259,45789082
893,614036923,108553,21514475
894,614036911,108097,9726261
895,614055938,107618,58181444
896,614042123,105122,34091446
897,499942490,104545,30498187
898,614041525,104505,29261307
899,397686414,103725,2567119431
900,614042460,101753,25026497
901,614035854,100818,39912953
902,509420984,99463,32484501
903,448670628,98823,3953257791
904,397686406,97749,2160911172
905,614055923,97723,12447005
906,397686410,97298,2178904919
907,509889691,96303,31274724
908,397686396,95788,3346419616
909,397686413,95148,2678638918
910,397686408,91984,3164469047
911,457185037,91396,951242
912,565179539,90436,2035857930
913,614054295,84613,18051844
914,397686426,84312,2964096258
915,614039711,83746,7908722
916,397686405,81819,2221594143
917,516167247,75777,2770281525
918,397686404,75447,3151918350
919,397686421,74750,2283545088
920,397703611,74688,1626647815
921,397686423,74094,899940502
922,448355340,73401,895426328
923,509187420,71512,64316678
924,448422929,71340,2263639228
925,509480270,71308,30510845
926,397686425,71251,349109367
927,397686397,70629,1930322553
928,540919223,67164,145978302
929,540920003,67156,153134724
930,540933636,67150,154433127
931,540931737,67126,146785941
932,540931347,67093,139385199
933,540920468,67085,142491637
934,540934009,67080,149655845
935,540932744,67077,152862076
936,540933352,67075,153537098
937,540937180,67023,157362051
938,540934490,67011,158284999
939,540935505,67011,155118514
940,540937923,67009,158182516
941,540934966,67009,154728700
942,540922900,67003,154570431
943,540936802,66995,147010330
944,540936365,66994,151029368
945,540962323,66978,156334149
946,540924111,66966,154451653
947,540963960,66956,148566357
948,540956613,66954,144512659
949,540945125,66953,147985162
950,540944001,66953,148332826
951,540932596,66951,154984319
952,540956151,66944,158637271
953,540957463,66944,154586195
954,540953760,66943,155872009
955,540958040,66940,162286249
956,540954872,66939,146754648
957,540932107,66938,155128290
958,540957771,66937,150410869
959,540954078,66937,148344264
960,540955060,66935,156465806
961,540954501,66932,155917584
962,540955457,66932,156301932
963,540955837,66927,154539518
964,540958756,66926,152779302
965,540931331,66926,136107498
966,540938794,66925,150350065
967,540933740,66924,151781203
968,540942589,66923,141259580
969,540933134,66922,142685618
970,540933467,66921,153744406
971,540931708,66921,151426348
972,540958346,66919,153099822
973,540962634,66919,148983548
974,540964374,66917,152075768
975,540920336,66916,154832975
976,540960666,66916,138724828
977,540919210,66915,136302577
978,540923698,66915,150338926
979,540940054,66913,151004944
980,540965722,66913,149529837
981,540959845,66913,155313576
982,540961989,66911,142558295
983,540964928,66910,153786631
984,540959125,66908,139826871
985,540963128,66907,154354559
986,540945260,66907,156481938
987,540963508,66907,140496133
988,540961570,66904,147910517
989,540934019,66903,141373751
990,540944761,66901,154869963
991,540964535,66901,158360716
992,540959505,66901,149828049
993,540939804,66900,150069894
994,540942213,66897,145125804
995,540960205,66894,148756269
996,540942190,66893,157002256
997,540946894,66893,137546523
998,540942569,66891,152025339
999,540943795,66891,146888408
